13:22:16:669 [ALWAYS]	GUDE Logging Started
13:22:16:670 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:22:16:670 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:22:16:670 [ERROR]	Initialize resume cache pointer failure
13:22:16:670 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
13:22:16:670 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
13:22:19:646 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
13:22:19:646 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:22:19:646 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:22:19:646 [ERROR]	Initialize resume cache pointer failure
13:22:19:646 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
13:22:19:647 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
